joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,13020
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,,,,,,,,,,,,,
pris,y,,roll,y,,pitch,z,,pitch,y,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,,,
roll,y,,roll,y,,roll,y,,roll,y,,,,,,,,,,,,,,,,,
roll,y,,roll,y,,roll,y,,roll,y,,,,,,,,,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,,,,,,,,,,,,,
pris,y,,roll,y,,pitch,z,,pitch,y,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
